DC_ID	DCC_ID
DC007046	DCC0080
DC007046	DCC0096
DC007046	DCC0329
DC007050	DCC1127
DC007050	DCC1678
DC007060	DCC0094
DC007060	DCC0329
DC007061	DCC0006
DC007061	DCC1121
DC007061	DCC1461
DC007062	DCC0240
DC007062	DCC0296
DC007089	DCC0056
DC007089	DCC0242
DC007146	DCC0012
DC007146	DCC1678
DC007150	DCC0043
DC007150	DCC0177
DC007151	DCC1194
DC007151	DCC1593
DC007152	DCC0014
DC007152	DCC0073
DC007152	DCC0260
DC007153	DCC0061
DC007153	DCC0285
DC007153	DCC0318
DC007154	DCC0250
DC007154	DCC0290
DC007154	DCC1577
DC007155	DCC0180
DC007155	DCC0194
DC007156	DCC0057
DC007156	DCC1680
DC007157	DCC0045
DC007157	DCC0225
DC007157	DCC0494
DC007157	DCC0903
DC007158	DCC0073
DC007158	DCC0331
DC007159	DCC0252
DC007159	DCC1699
DC007160	DCC0014
DC007160	DCC0331
DC007161	DCC0073
DC007161	DCC0260
DC007161	DCC0331
DC007162	DCC1333
DC007162	DCC1493
DC007163	DCC0260
DC007163	DCC1355
DC007164	DCC0057
DC007164	DCC0371
DC007165	DCC0255
DC007165	DCC1393
DC007166	DCC0047
DC007166	DCC1722
DC007167	DCC0038
DC007167	DCC0073
DC007167	DCC0260
DC007168	DCC0887
DC007168	DCC1336
DC007169	DCC1361
DC007169	DCC1507
DC007248	DCC0166
DC007248	DCC1825
DC007249	DCC0166
DC007249	DCC1370
DC007250	DCC0196
DC007250	DCC1377
DC007251	DCC0908
DC007251	DCC1823
DC007252	DCC0836
DC007252	DCC1823
DC007253	DCC0836
DC007253	DCC1097
DC007254	DCC0552
DC007254	DCC0908
DC007255	DCC0071
DC007255	DCC0552
DC007256	DCC0180
DC007256	DCC0252
DC007256	DCC1826
DC007258	DCC0244
DC007258	DCC0252
DC007259	DCC0207
DC007259	DCC0340
DC007260	DCC0587
DC007260	DCC1183
DC007261	DCC0140
DC007261	DCC0257
DC007262	DCC0172
DC007262	DCC1246
DC007263	DCC0155
DC007263	DCC1246
DC007265	DCC0257
DC007265	DCC1828
DC007266	DCC0260
DC007266	DCC1829
DC007267	DCC0260
DC007267	DCC0337
DC007268	DCC0260
DC007268	DCC0337
DC007268	DCC1852
DC007270	DCC0337
DC007270	DCC1852
DC007271	DCC0260
DC007271	DCC1328
DC007272	DCC0260
DC007272	DCC1455
DC007273	DCC0260
DC007273	DCC1852
DC007274	DCC0072
DC007274	DCC0260
DC007275	DCC0243
DC007275	DCC1845
DC007276	DCC0214
DC007276	DCC0243
DC007277	DCC0184
DC007277	DCC0257
DC007281	DCC0184
DC007281	DCC1860
DC007283	DCC0184
DC007283	DCC0193
DC007284	DCC0184
DC007284	DCC0187
DC007285	DCC1830
DC007285	DCC1852
DC007286	DCC0202
DC007286	DCC1831
DC007287	DCC0075
DC007287	DCC0282
DC007288	DCC0075
DC007288	DCC1486
DC007290	DCC0180
DC007290	DCC1112
DC007291	DCC0373
DC007291	DCC1370
DC007291	DCC1847
DC007292	DCC0040
DC007292	DCC0143
DC007293	DCC0211
DC007293	DCC0959
DC007294	DCC0794
DC007294	DCC1381
DC007296	DCC0287
DC007296	DCC1284
DC007297	DCC0186
DC007297	DCC1836
DC007298	DCC0340
DC007298	DCC1841
DC007299	DCC1838
DC007299	DCC1842
DC007300	DCC1838
DC007300	DCC1852
DC007301	DCC0257
DC007301	DCC1454
DC007302	DCC0216
DC007302	DCC0257
DC007303	DCC0149
DC007303	DCC0257
DC007304	DCC1188
DC007304	DCC1615
DC007304	DCC1858
DC007307	DCC0266
DC007307	DCC1844
DC007308	DCC0093
DC007308	DCC0266
DC007308	DCC1844
DC007309	DCC0035
DC007309	DCC1844
DC007310	DCC0075
DC007310	DCC1849
DC007311	DCC0799
DC007311	DCC1848
DC007312	DCC1285
DC007312	DCC1846
DC007313	DCC1846
DC007313	DCC1852
DC007314	DCC0187
DC007314	DCC1370
DC007315	DCC0039
DC007315	DCC1370
DC007316	DCC1850
DC007316	DCC1852
DC007317	DCC1852
DC007317	DCC1856
DC007318	DCC0157
DC007318	DCC0333
DC007319	DCC1256
DC007319	DCC1854
DC007320	DCC0155
DC007320	DCC1853
DC007320	DCC1861
DC007321	DCC1256
DC007321	DCC1854
DC007321	DCC1855
DC007322	DCC0797
DC007322	DCC1859
DC000743	DCC0100
DC000743	DCC1231
DC000743	DCC1541
DC000747	DCC0067
DC000747	DCC0904
DC000750	DCC0157
DC000750	DCC0859
DC000754	DCC0008
DC000754	DCC0123
DC000754	DCC0259
DC000754	DCC0323
DC000754	DCC0904
DC000755	DCC0012
DC000755	DCC0128
DC000755	DCC0189
DC000756	DCC0887
DC000756	DCC1705
DC000758	DCC0009
DC000758	DCC0191
DC000758	DCC0311
DC000758	DCC1120
DC000758	DCC1121
DC000761	DCC1124
DC000761	DCC1749
DC000762	DCC0114
DC000762	DCC1489
DC000762	DCC1658
DC000764	DCC0203
DC000764	DCC0784
DC000766	DCC0011
DC000766	DCC0173
DC000766	DCC1149
DC000770	DCC0057
DC000770	DCC0779
DC000772	DCC0001
DC000772	DCC0128
DC000772	DCC0162
DC000772	DCC0189
DC000773	DCC0378
DC000773	DCC0601
DC000775	DCC0139
DC000775	DCC0239
DC000775	DCC0969
DC000778	DCC1384
DC000778	DCC1662
DC000779	DCC0410
DC000779	DCC1450
DC000781	DCC0601
DC000781	DCC1733
DC000782	DCC0112
DC000782	DCC1210
DC000794	DCC0295
DC000794	DCC0336
DC000807	DCC0166
DC000807	DCC0920
DC000807	DCC1238
DC000813	DCC0329
DC000813	DCC1657
DC000834	DCC0117
DC000834	DCC0158
DC000834	DCC0329
DC000854	DCC0048
DC000854	DCC0186
DC000854	DCC1443
DC000859	DCC0131
DC000859	DCC0186
DC000859	DCC0256
DC000859	DCC0273
DC000859	DCC0308
DC000859	DCC1357
DC000863	DCC1252
DC000863	DCC1479
DC000863	DCC1488
DC000867	DCC0158
DC000867	DCC0596
DC000875	DCC0056
DC000875	DCC0062
DC000875	DCC0280
DC000875	DCC1208
DC000890	DCC1384
DC000890	DCC1723
DC000891	DCC0120
DC000891	DCC0128
DC000891	DCC0162
DC000891	DCC1555
DC000898	DCC0009
DC000898	DCC0123
DC000898	DCC0126
DC000898	DCC0156
DC000898	DCC0949
DC000901	DCC0250
DC000901	DCC0290
DC000912	DCC0329
DC000912	DCC0652
DC000919	DCC0170
DC000919	DCC1599
DC000922	DCC0188
DC000922	DCC1208
DC000926	DCC0146
DC000926	DCC0464
DC000926	DCC1493
DC000931	DCC0705
DC000931	DCC1482
DC000947	DCC0114
DC000947	DCC0179
DC000947	DCC0281
DC000947	DCC0351
DC000951	DCC0009
DC000951	DCC0131
DC000951	DCC1183
DC000951	DCC1454
DC000956	DCC0057
DC000956	DCC0303
DC000956	DCC0371
DC000966	DCC1105
DC000966	DCC1561
DC000967	DCC1559
DC000967	DCC1584
DC000969	DCC0179
DC000969	DCC0281
DC000969	DCC1489
DC000971	DCC0001
DC000971	DCC0128
DC000971	DCC0245
DC000980	DCC0027
DC000980	DCC0057
DC000980	DCC0333
DC000988	DCC0334
DC000988	DCC0717
DC000995	DCC0156
DC000995	DCC0277
DC000995	DCC0278
DC000995	DCC1649
DC000998	DCC0325
DC000998	DCC1351
DC000998	DCC1434
DC000998	DCC1702
DC001372	DCC0012
DC001372	DCC0332
DC001396	DCC0062
DC001396	DCC1740
DC001403	DCC0240
DC001403	DCC1719
DC001408	DCC0290
DC001408	DCC0700
DC001413	DCC0323
DC001413	DCC0429
DC001414	DCC0114
DC001414	DCC0802
DC001414	DCC1552
DC001440	DCC0240
DC001440	DCC1744
DC001443	DCC0030
DC001443	DCC0045
DC001443	DCC0225
DC001444	DCC0252
DC001444	DCC0908
DC001444	DCC1136
DC001461	DCC0131
DC001461	DCC1692
DC001463	DCC0295
DC001463	DCC0332
DC001473	DCC0012
DC001473	DCC0120
DC001473	DCC0128
DC001473	DCC0162
DC001473	DCC0189
DC001481	DCC0103
DC001481	DCC0156
DC001481	DCC0278
DC001506	DCC0001
DC001506	DCC0012
DC001506	DCC0120
DC001506	DCC0295
DC001507	DCC0079
DC001507	DCC0094
DC001507	DCC0295
DC001518	DCC0111
DC001518	DCC0179
DC001518	DCC1637
DC001523	DCC0323
DC001523	DCC1020
DC001530	DCC0049
DC001530	DCC0138
DC001530	DCC0282
DC001536	DCC0123
DC001536	DCC0295
DC001547	DCC0009
DC001547	DCC0640
DC001551	DCC0123
DC001551	DCC0259
DC001551	DCC0329
DC001562	DCC0206
DC001562	DCC1353
DC001567	DCC0049
DC001567	DCC0116
DC001567	DCC0214
DC001567	DCC0221
DC001567	DCC0285
DC001571	DCC0169
DC001571	DCC0181
DC001571	DCC0290
DC001572	DCC0348
DC001572	DCC1477
DC001575	DCC0128
DC001575	DCC0162
DC001575	DCC0189
DC001577	DCC0295
DC001577	DCC1639
DC001584	DCC0264
DC001584	DCC0348
DC001606	DCC0256
DC001606	DCC1017
DC001608	DCC0027
DC001608	DCC0057
DC001647	DCC0066
DC001647	DCC0464
DC001689	DCC0097
DC001689	DCC0321
DC001695	DCC1353
DC001695	DCC1728
DC001696	DCC0769
DC001696	DCC0912
DC001709	DCC1280
DC001709	DCC1368
DC001710	DCC0332
DC001710	DCC0777
DC001728	DCC0094
DC001728	DCC0120
DC001735	DCC0061
DC001735	DCC0240
DC001735	DCC1390
DC001740	DCC1247
DC001740	DCC1530
DC001750	DCC0325
DC001750	DCC1745
DC001777	DCC0045
DC001777	DCC0111
DC001777	DCC0225
DC001784	DCC0057
DC001784	DCC0059
DC001784	DCC0234
DC001784	DCC1436
DC001786	DCC0016
DC001786	DCC0325
DC001786	DCC0768
DC001802	DCC0184
DC001802	DCC0849
DC001802	DCC1354
DC001808	DCC0008
DC001808	DCC0096
DC001808	DCC0123
DC001808	DCC0128
DC001808	DCC0329
DC001814	DCC0003
DC001814	DCC0079
DC001830	DCC0094
DC001830	DCC0189
DC001830	DCC1555
DC001841	DCC0012
DC001841	DCC0117
DC001841	DCC0128
DC001841	DCC0295
DC001856	DCC0050
DC001856	DCC1539
DC001863	DCC0171
DC001863	DCC0296
DC001885	DCC0008
DC001885	DCC0012
DC001885	DCC0332
DC001893	DCC0111
DC001893	DCC0114
DC001893	DCC0179
DC001893	DCC0351
DC001901	DCC0003
DC001901	DCC0148
DC001904	DCC1330
DC001904	DCC1339
DC001908	DCC0057
DC001908	DCC0303
DC001908	DCC1680
DC001910	DCC0225
DC001910	DCC0228
DC001910	DCC1489
DC001928	DCC0371
DC001928	DCC1124
DC001932	DCC0269
DC001932	DCC0270
DC001949	DCC0096
DC001949	DCC0329
DC001949	DCC1120
DC001950	DCC0094
DC001950	DCC0245
DC001950	DCC0622
DC001969	DCC0057
DC001969	DCC1743
DC001974	DCC0100
DC001974	DCC1548
DC001975	DCC0050
DC001975	DCC0329
DC001982	DCC0060
DC001982	DCC0134
DC001982	DCC0169
DC001986	DCC0100
DC001986	DCC1541
DC001998	DCC1166
DC001998	DCC1411
DC002016	DCC0016
DC002016	DCC0123
DC002016	DCC0277
DC002016	DCC0325
DC002017	DCC0290
DC002017	DCC0859
DC002034	DCC0103
DC002034	DCC0240
DC002034	DCC0325
DC002034	DCC0628
DC002038	DCC0156
DC002038	DCC0329
DC002038	DCC0634
DC002043	DCC0233
DC002043	DCC1567
DC002044	DCC0008
DC002044	DCC0123
DC002044	DCC0259
DC002044	DCC0329
DC002049	DCC0057
DC002049	DCC1690
DC002056	DCC0114
DC002056	DCC0351
DC002056	DCC0802
DC002058	DCC0170
DC002058	DCC1200
DC002069	DCC0370
DC002069	DCC0601
DC002070	DCC0666
DC002070	DCC1224
DC002073	DCC0048
DC002073	DCC1574
DC002079	DCC0120
DC002079	DCC0128
DC002079	DCC0162
DC002081	DCC0009
DC002081	DCC0103
DC002088	DCC0001
DC002088	DCC0012
DC002088	DCC0122
DC002091	DCC0131
DC002091	DCC1399
DC002091	DCC1495
DC002091	DCC1601
DC002096	DCC0089
DC002096	DCC0325
DC002096	DCC1427
DC002104	DCC0123
DC002104	DCC0288
DC002104	DCC0917
DC002122	DCC0173
DC002122	DCC0218
DC002122	DCC0223
DC002122	DCC1161
DC002126	DCC0138
DC002126	DCC1011
DC002130	DCC0065
DC002130	DCC0115
DC002140	DCC0077
DC002140	DCC0261
DC002141	DCC0361
DC002141	DCC1138
DC002150	DCC0027
DC002150	DCC0057
DC002150	DCC1133
DC002154	DCC1143
DC002154	DCC1454
DC002154	DCC1468
DC002155	DCC0290
DC002155	DCC1390
DC002178	DCC0117
DC002178	DCC0126
DC002178	DCC0259
DC002178	DCC0311
DC002178	DCC1129
DC002181	DCC1259
DC002181	DCC1412
DC002186	DCC0128
DC002186	DCC1164
DC002196	DCC0285
DC002196	DCC0372
DC002196	DCC0374
DC002202	DCC0077
DC002202	DCC0239
DC002205	DCC0199
DC002205	DCC0304
DC002209	DCC0120
DC002209	DCC0128
DC002209	DCC0162
DC002209	DCC0329
DC002220	DCC1040
DC002220	DCC1450
DC002238	DCC1116
DC002238	DCC1508
DC002240	DCC0096
DC002240	DCC0329
DC002240	DCC1775
DC002248	DCC1546
DC002248	DCC1574
DC002254	DCC0057
DC002254	DCC1183
DC002264	DCC1040
DC002264	DCC1466
DC002270	DCC0250
DC002270	DCC1494
DC002275	DCC0061
DC002275	DCC0187
DC002275	DCC0235
DC002275	DCC1010
DC002282	DCC0062
DC002282	DCC0407
DC002282	DCC1208
DC002327	DCC0103
DC002327	DCC0325
DC002327	DCC1737
DC002342	DCC0012
DC002342	DCC0117
DC002342	DCC0158
DC002364	DCC0372
DC002364	DCC0374
DC002364	DCC1333
DC002367	DCC0016
DC002367	DCC0103
DC002367	DCC0123
DC002367	DCC0325
DC002381	DCC0325
DC002381	DCC0770
DC002381	DCC1434
DC002383	DCC0304
DC002383	DCC0319
DC002405	DCC0094
DC002405	DCC0120
DC002405	DCC0122
DC002411	DCC0103
DC002411	DCC0325
DC002411	DCC0488
DC002413	DCC0122
DC002413	DCC1024
DC002423	DCC0323
DC002423	DCC0932
DC002436	DCC0323
DC002436	DCC0904
DC002437	DCC0156
DC002437	DCC0191
DC002437	DCC0259
DC002437	DCC1234
DC002437	DCC1522
DC002449	DCC0002
DC002449	DCC0203
DC002449	DCC1648
DC002454	DCC0040
DC002454	DCC0224
DC002470	DCC0264
DC002470	DCC1135
DC002484	DCC0652
DC002484	DCC1353
DC002485	DCC0223
DC002485	DCC1137
DC002493	DCC1132
DC002493	DCC1133
DC002494	DCC1160
DC002494	DCC1703
DC002499	DCC0057
DC002499	DCC1664
DC002501	DCC0239
DC002501	DCC0255
DC002503	DCC0285
DC002503	DCC1208
DC002503	DCC1377
DC002505	DCC0223
DC002505	DCC0917
DC002507	DCC0240
DC002507	DCC1390
DC002516	DCC0036
DC002516	DCC0269
DC002520	DCC0259
DC002520	DCC0329
DC002521	DCC0223
DC002521	DCC1149
DC002527	DCC0040
DC002527	DCC1372
DC002555	DCC0245
DC002555	DCC0323
DC002555	DCC0622
DC002605	DCC0131
DC002605	DCC1110
DC002608	DCC0256
DC002608	DCC0630
DC002608	DCC1121
DC002608	DCC1162
DC002608	DCC1357
DC002614	DCC0156
DC002614	DCC0173
DC002614	DCC0223
DC002618	DCC0887
DC002618	DCC1498
DC002634	DCC0245
DC002634	DCC0323
DC002634	DCC0945
DC002652	DCC0316
DC002652	DCC1098
DC002652	DCC1197
DC002656	DCC0023
DC002656	DCC0024
DC002656	DCC0339
DC002672	DCC0012
DC002672	DCC0096
DC002672	DCC0123
DC002672	DCC0329
DC002684	DCC0240
DC002684	DCC1390
DC002684	DCC1666
DC002686	DCC0082
DC002686	DCC1433
DC002689	DCC0008
DC002689	DCC0323
DC002689	DCC0329
DC002701	DCC0122
DC002701	DCC0329
DC002713	DCC0007
DC002713	DCC0095
DC002713	DCC0358
DC002716	DCC0723
DC002716	DCC1537
DC002741	DCC0055
DC002741	DCC1682
DC002745	DCC0094
DC002745	DCC0245
DC002749	DCC0139
DC002749	DCC1285
DC002749	DCC1446
DC002758	DCC0048
DC002758	DCC0059
DC002765	DCC0156
DC002765	DCC0329
DC002772	DCC0050
DC002772	DCC1450
DC002774	DCC0166
DC002774	DCC1145
DC002774	DCC1454
DC002777	DCC0303
DC002777	DCC1560
DC002827	DCC0013
DC002827	DCC0520
DC002827	DCC0585
DC002827	DCC1181
DC002836	DCC0180
DC002836	DCC0252
DC002845	DCC0156
DC002845	DCC1535
DC002846	DCC0123
DC002846	DCC0128
DC002846	DCC0259
DC002847	DCC0289
DC002847	DCC1678
DC002867	DCC0024
DC002867	DCC0280
DC002876	DCC1288
DC002876	DCC1556
DC002878	DCC0323
DC002878	DCC0789
DC002885	DCC0048
DC002885	DCC0259
DC002890	DCC0280
DC002890	DCC1221
DC002891	DCC0057
DC002891	DCC1567
DC003376	DCC0103
DC003376	DCC1443
DC003382	DCC0112
DC003382	DCC1247
DC003385	DCC0194
DC003385	DCC1112
DC003395	DCC0134
DC003395	DCC1386
DC003407	DCC0117
DC003407	DCC0122
DC003418	DCC0131
DC003418	DCC0216
DC003418	DCC1110
DC003422	DCC0117
DC003422	DCC0128
DC003423	DCC0043
DC003423	DCC0920
DC003423	DCC1238
DC003425	DCC0057
DC003425	DCC0741
DC003435	DCC0255
DC003435	DCC1584
DC003440	DCC0014
DC003440	DCC1191
DC003443	DCC0012
DC003443	DCC0117
DC003443	DCC0271
DC003477	DCC0009
DC003477	DCC1235
DC003492	DCC0123
DC003492	DCC0288
DC003492	DCC1106
DC003505	DCC0156
DC003505	DCC0173
DC003505	DCC0218
DC003509	DCC0240
DC003509	DCC1390
DC003509	DCC1520
DC003521	DCC0093
DC003521	DCC0242
DC003521	DCC0266
DC003554	DCC0057
DC003554	DCC1133
DC003559	DCC1182
DC003559	DCC1677
DC003559	DCC1705
DC003566	DCC0016
DC003566	DCC1525
DC003577	DCC1116
DC003577	DCC1539
DC003578	DCC0296
DC003578	DCC1137
DC003584	DCC0012
DC003584	DCC0096
DC003584	DCC0123
DC003584	DCC0128
DC003584	DCC0323
DC003585	DCC0318
DC003585	DCC1684
DC003590	DCC0083
DC003590	DCC0893
DC003590	DCC1500
DC003607	DCC0717
DC003607	DCC1443
DC003611	DCC0003
DC003611	DCC0203
DC003611	DCC0764
DC003619	DCC0050
DC003619	DCC0157
DC003645	DCC0204
DC003645	DCC1353
DC003646	DCC0023
DC003646	DCC0339
DC003646	DCC0769
DC003665	DCC0215
DC003665	DCC0361
DC003675	DCC0131
DC003675	DCC1143
DC003675	DCC1454
DC003689	DCC0276
DC003689	DCC0657
DC003692	DCC0152
DC003692	DCC0294
DC003692	DCC0448
DC003697	DCC1165
DC003697	DCC1417
DC003697	DCC1628
DC003704	DCC0008
DC003704	DCC0245
DC003704	DCC0259
DC003707	DCC1293
DC003707	DCC1524
DC003717	DCC0290
DC003717	DCC0601
DC003718	DCC0290
DC003718	DCC0657
DC003734	DCC0218
DC003734	DCC0348
DC003734	DCC1149
DC003737	DCC0190
DC003737	DCC0285
DC003737	DCC0832
DC003737	DCC1334
DC003737	DCC1377
DC003746	DCC0057
DC003746	DCC1424
DC003750	DCC0045
DC003750	DCC0111
DC003750	DCC0150
DC003750	DCC0179
DC003750	DCC0225
DC003752	DCC0294
DC003752	DCC0657
DC003764	DCC0239
DC003764	DCC0255
DC003764	DCC1131
DC003771	DCC0319
DC003771	DCC1240
DC003773	DCC0045
DC003773	DCC0225
DC003773	DCC0802
DC003841	DCC0187
DC003841	DCC0338
DC003841	DCC1334
DC003851	DCC0067
DC003851	DCC0117
DC003855	DCC0319
DC003855	DCC1365
DC003875	DCC0240
DC003875	DCC0247
DC003875	DCC0251
DC003896	DCC0003
DC003896	DCC0203
DC003896	DCC0764
DC003896	DCC1118
DC003897	DCC0009
DC003897	DCC0288
DC003897	DCC0917
DC004345	DCC0278
DC004362	DCC0137
DC004362	DCC1509
DC004366	DCC0100
DC004366	DCC0818
DC004366	DCC1231
DC004379	DCC0030
DC004379	DCC0111
DC004397	DCC0282
DC004397	DCC0944
DC004406	DCC0114
DC004406	DCC0342
DC004425	DCC0111
DC004425	DCC0150
DC004425	DCC0179
DC004428	DCC0011
DC004428	DCC0218
DC004428	DCC0348
DC004428	DCC1249
DC004458	DCC0198
DC004458	DCC1502
DC004459	DCC0114
DC004459	DCC1552
DC004469	DCC0027
DC004469	DCC0057
DC004469	DCC0082
DC004469	DCC0303
DC004469	DCC0779
DC004483	DCC0240
DC004483	DCC0303
DC004490	DCC0150
DC004490	DCC0161
DC004490	DCC0179
DC004523	DCC1172
DC004523	DCC1182
DC004527	DCC0040
DC004527	DCC0044
DC004527	DCC0136
DC004534	DCC0849
DC004534	DCC1542
DC004569	DCC0115
DC004569	DCC1239
DC004569	DCC1332
DC004569	DCC1365
DC004569	DCC1661
DC004575	DCC0169
DC004575	DCC0181
DC004578	DCC0079
DC004578	DCC0295
DC004590	DCC0158
DC004590	DCC0245
DC004598	DCC0156
DC004598	DCC0329
DC004598	DCC0639
DC004601	DCC0909
DC004601	DCC1622
DC004617	DCC0174
DC004617	DCC1423
DC004618	DCC0157
DC004618	DCC0290
DC004637	DCC0216
DC004637	DCC0348
DC004637	DCC1149
DC004637	DCC1477
DC004658	DCC0043
DC004658	DCC0049
DC004659	DCC0030
DC004659	DCC0132
DC004661	DCC0811
DC004661	DCC1690
DC004679	DCC0245
DC004679	DCC0329
DC004690	DCC0070
DC004690	DCC0252
DC004690	DCC1221
DC004694	DCC0342
DC004694	DCC1478
DC004700	DCC0705
DC004700	DCC0850
DC004719	DCC0096
DC004719	DCC0120
DC004719	DCC0295
DC004719	DCC1555
DC004724	DCC0171
DC004724	DCC1755
DC004727	DCC0103
DC004727	DCC0123
DC004727	DCC0325
DC004736	DCC1116
DC004736	DCC1478
DC004736	DCC1507
DC004736	DCC1508
DC004751	DCC0124
DC004751	DCC0172
DC004769	DCC0002
DC004769	DCC0203
DC004769	DCC1144
DC004818	DCC1244
DC004818	DCC1329
DC004823	DCC0131
DC004823	DCC0157
DC004823	DCC1676
DC004834	DCC0001
DC004834	DCC0323
DC004843	DCC0218
DC004843	DCC1149
DC004844	DCC0191
DC004844	DCC0256
DC004844	DCC1535
DC004844	DCC1710
DC004857	DCC0123
DC004857	DCC0128
DC004857	DCC0131
DC004864	DCC0139
DC004864	DCC0216
DC004872	DCC0868
DC004872	DCC1454
DC004873	DCC0233
DC004873	DCC1124
DC004887	DCC0371
DC004887	DCC1644
DC004890	DCC0022
DC004890	DCC1335
DC004926	DCC0258
DC004926	DCC1293
DC004931	DCC1143
DC004931	DCC1468
DC004934	DCC0079
DC004934	DCC1443
DC004956	DCC0238
DC004956	DCC1411
DC004957	DCC0114
DC004957	DCC0351
DC004957	DCC1726
DC004962	DCC0131
DC004962	DCC1676
DC004965	DCC0259
DC004965	DCC0325
DC004965	DCC0369
DC004966	DCC0057
DC004966	DCC0267
DC004966	DCC1680
DC005467	DCC0085
DC005472	DCC0114
DC005472	DCC0351
DC005472	DCC1489
DC005488	DCC0612
DC005488	DCC1221
DC005501	DCC0886
DC005501	DCC1431
DC005521	DCC0049
DC005521	DCC0944
DC005523	DCC0011
DC005523	DCC0156
DC005523	DCC0173
DC005523	DCC1149
DC005540	DCC0016
DC005540	DCC0123
DC005540	DCC0325
DC005542	DCC0009
DC005542	DCC0131
DC005542	DCC0156
DC005557	DCC1677
DC005557	DCC1689
DC005559	DCC0012
DC005559	DCC0189
DC005559	DCC0245
DC005570	DCC0072
DC005570	DCC0106
DC005570	DCC1613
DC005582	DCC0255
DC005582	DCC0321
DC005582	DCC1422
DC005603	DCC0097
DC005603	DCC1687
DC005610	DCC0038
DC005610	DCC0565
DC005613	DCC0008
DC005613	DCC0012
DC005627	DCC0551
DC005627	DCC1227
DC005636	DCC0094
DC005636	DCC0120
DC005636	DCC0295
DC005636	DCC1555
DC005651	DCC0043
DC005651	DCC0320
DC005658	DCC0016
DC005658	DCC0156
DC005658	DCC0277
DC005665	DCC0016
DC005665	DCC0103
DC005665	DCC0325
DC005702	DCC1231
DC005702	DCC1293
DC005702	DCC1414
DC005702	DCC1524
DC005712	DCC0012
DC005712	DCC1127
DC005715	DCC0158
DC005715	DCC0245
DC005715	DCC0634
DC005732	DCC0635
DC005732	DCC0887
DC005733	DCC0216
DC005733	DCC0277
DC005733	DCC0278
DC005743	DCC0012
DC005743	DCC0094
DC005743	DCC0117
DC005750	DCC0169
DC005750	DCC0331
DC005752	DCC0280
DC005752	DCC1728
DC005757	DCC0002
DC005757	DCC0203
DC005757	DCC1302
DC005773	DCC1437
DC005773	DCC1473
DC005774	DCC0157
DC005774	DCC1140
DC005783	DCC1384
DC005783	DCC1599
DC005784	DCC1203
DC005784	DCC1521
DC005791	DCC0131
DC005791	DCC0868
DC005802	DCC0236
DC005802	DCC0312
DC005802	DCC1590
DC005804	DCC0123
DC005804	DCC0153
DC005804	DCC0191
DC005818	DCC1112
DC005818	DCC1267
DC005839	DCC0024
DC005839	DCC0464
DC005840	DCC0008
DC005840	DCC0117
DC005840	DCC0128
DC005840	DCC0295
DC005843	DCC0120
DC005843	DCC0189
DC005843	DCC0191
DC005843	DCC0245
DC005861	DCC0156
DC005861	DCC0613
DC005864	DCC0152
DC005864	DCC0240
DC005871	DCC0818
DC005871	DCC1380
DC005878	DCC0112
DC005878	DCC0312
DC005894	DCC0002
DC005894	DCC0203
DC005894	DCC0545
DC005921	DCC0093
DC005921	DCC0176
DC005921	DCC0266
DC005938	DCC0464
DC005938	DCC1333
DC005946	DCC0684
DC005946	DCC1390
DC005954	DCC0016
DC005954	DCC0131
DC005954	DCC0218
DC005959	DCC0094
DC005959	DCC0403
DC005981	DCC0152
DC005981	DCC0157
DC005981	DCC0250
DC005998	DCC0012
DC005998	DCC0189
DC005998	DCC0295
DC006001	DCC0012
DC006001	DCC1628
DC006002	DCC0093
DC006002	DCC0124
DC006002	DCC0266
DC006019	DCC0169
DC006019	DCC1641
DC006066	DCC0148
DC006066	DCC0256
DC006066	DCC1165
DC006074	DCC0072
DC006074	DCC0219
DC006074	DCC1613
DC006079	DCC0027
DC006079	DCC0057
DC006079	DCC1567
DC006083	DCC0096
DC006083	DCC0117
DC006083	DCC0295
DC006098	DCC0011
DC006098	DCC0348
DC006098	DCC1149
DC006104	DCC0099
DC006104	DCC0139
DC006113	DCC0191
DC006113	DCC0410
DC006115	DCC0050
DC006115	DCC0117
DC006115	DCC0158
DC006118	DCC1021
DC006118	DCC1376
DC006122	DCC0325
DC006122	DCC0329
DC006122	DCC1736
DC006126	DCC0079
DC006126	DCC0336
DC006130	DCC0008
DC006130	DCC0123
DC006130	DCC0259
DC006130	DCC0323
DC006130	DCC0332
DC006131	DCC1182
DC006131	DCC1481
DC006144	DCC0276
DC006144	DCC0859
DC006145	DCC0173
DC006145	DCC0218
DC006156	DCC0080
DC006156	DCC1182
DC006156	DCC1577
DC006178	DCC0168
DC006178	DCC1466
DC006181	DCC0129
DC006181	DCC1367
DC006192	DCC0008
DC006192	DCC0012
DC006192	DCC0295
DC006200	DCC0050
DC006200	DCC0336
DC006217	DCC0082
DC006217	DCC0811
DC006255	DCC0216
DC006255	DCC1662
DC006260	DCC0166
DC006260	DCC0184
DC006260	DCC1145
DC006260	DCC1454
DC006269	DCC0152
DC006269	DCC0250
DC006275	DCC0256
DC006275	DCC1357
DC006321	DCC0240
DC006321	DCC1377
DC006327	DCC0123
DC006327	DCC0256
DC006327	DCC1121
DC006327	DCC1138
DC006327	DCC1357
DC006327	DCC1471
DC006337	DCC0059
DC006337	DCC1498
DC006382	DCC0590
DC006382	DCC1446
DC006391	DCC0009
DC006391	DCC0156
DC006391	DCC1454
DC006406	DCC0203
