DC_ID	DCC_ID
DC000397	DCC0281
DC000398	DCC0003
DC000398	DCC0203
DC000399	DCC0002
DC000399	DCC0203
DC000400	DCC0114
DC000400	DCC0280
DC000400	DCC0324
DC000401	DCC0323
DC000401	DCC0412
DC000402	DCC0032
DC000402	DCC0048
DC000403	DCC0062
DC000403	DCC0111
DC000403	DCC0150
DC000403	DCC0242
DC000403	DCC0280
DC000403	DCC0281
DC000404	DCC0323
DC000404	DCC0446
DC000405	DCC0048
DC000405	DCC0141
DC000406	DCC0056
DC000406	DCC0062
DC000406	DCC0242
DC000406	DCC0280
DC000407	DCC0308
DC000407	DCC0363
DC000408	DCC0046
DC000408	DCC0259
DC000409	DCC0030
DC000409	DCC0161
DC000409	DCC0179
DC000409	DCC0280
DC000410	DCC0256
DC000410	DCC0394
DC000411	DCC0136
DC000411	DCC0154
DC000412	DCC0117
DC000412	DCC0462
DC000413	DCC0191
DC000413	DCC0462
DC000414	DCC0150
DC000414	DCC0179
DC000414	DCC0228
DC000414	DCC0280
DC000415	DCC0323
DC000415	DCC0451
DC000416	DCC0018
DC000416	DCC0398
DC000417	DCC0114
DC000417	DCC0179
DC000417	DCC0228
DC000417	DCC0242
DC000417	DCC0280
DC000417	DCC0324
DC000418	DCC0200
DC000418	DCC0350
DC000419	DCC0008
DC000419	DCC0016
DC000420	DCC0376
DC000420	DCC0472
DC000421	DCC0105
DC000421	DCC0442
DC000422	DCC0148
DC000422	DCC0361
DC000423	DCC0048
DC000423	DCC0129
DC000424	DCC0223
DC000424	DCC0381
DC000425	DCC0048
DC000425	DCC0258
DC000426	DCC0132
DC000426	DCC0258
DC000427	DCC0113
DC000427	DCC0241
DC000428	DCC0138
DC000428	DCC0187
DC000429	DCC0187
DC000429	DCC0196
DC000430	DCC0157
DC000430	DCC0276
DC000431	DCC0020
DC000431	DCC0084
DC000432	DCC0192
DC000432	DCC0316
DC000433	DCC0271
DC000433	DCC0332
DC000434	DCC0022
DC000434	DCC0293
DC000435	DCC0192
DC000435	DCC0258
DC000436	DCC0015
DC000436	DCC0331
DC000437	DCC0154
DC000437	DCC0433
DC000438	DCC0231
DC000438	DCC0258
DC000439	DCC0270
DC000439	DCC0331
DC000440	DCC0173
DC000440	DCC0440
DC000441	DCC0037
DC000441	DCC0129
DC000442	DCC0015
DC000442	DCC0424
DC000443	DCC0037
DC000443	DCC0132
DC000444	DCC0348
DC000444	DCC0437
DC000445	DCC0037
DC000445	DCC0048
DC000446	DCC0039
DC000446	DCC0289
DC000447	DCC0037
DC000447	DCC0192
DC000448	DCC0037
DC000448	DCC0316
DC000449	DCC0334
DC000449	DCC0390
DC000450	DCC0050
DC000450	DCC0436
DC000451	DCC0128
DC000451	DCC0409
DC000452	DCC0129
DC000452	DCC0132
DC000453	DCC0280
DC000453	DCC0362
DC000454	DCC0115
DC000454	DCC0418
DC000455	DCC0080
DC000455	DCC0410
DC000456	DCC0127
DC000456	DCC0260
DC000457	DCC0260
DC000457	DCC0331
DC000458	DCC0073
DC000458	DCC0290
DC000459	DCC0109
DC000459	DCC0260
DC000460	DCC0214
DC000460	DCC0221
DC000461	DCC0182
DC000461	DCC0243
DC000462	DCC0073
DC000462	DCC0127
DC000463	DCC0038
DC000463	DCC0073
DC000464	DCC0142
DC000464	DCC0260
DC000465	DCC0090
DC000465	DCC0317
DC000466	DCC0117
DC000466	DCC0189
DC000467	DCC0259
DC000467	DCC0426
DC000468	DCC0117
DC000468	DCC0426
DC000469	DCC0323
DC000469	DCC0426
DC000470	DCC0118
DC000470	DCC0216
DC000471	DCC0218
DC000471	DCC0348
